id,movie_id,user_id,rating,comment,created_at
1,136,1,2,,2025-08-27 17:23:08.278638
2,193,1,3,,2025-08-06 17:23:08.278638
3,72,1,3,,2025-05-18 17:23:08.278638
4,98,1,3,"The Shadow Promise tem momentos bons, mas poderia ser melhor.",2024-10-02 17:23:08.278638
5,78,1,3,The Lost Connection é um filme decente. Vale a pena assistir.,2025-03-10 17:23:08.278638
6,3,1,3,,2025-01-19 17:23:08.278638
7,180,2,3,"Sun Rising tem momentos bons, mas poderia ser melhor.",2025-05-20 17:23:08.278638
8,189,2,3,,2025-05-16 17:23:08.278638
9,131,2,4,,2024-11-11 17:23:08.278638
10,125,2,4,,2025-09-11 17:23:08.278638
11,37,2,3,"The Lost House tem momentos bons, mas poderia ser melhor.",2025-09-10 17:23:08.278638
12,17,2,3,The Dark Knight é um filme decente. Vale a pena assistir.,2025-01-30 17:23:08.278638
13,100,3,3,,2025-03-16 17:23:08.278638
14,97,3,3,Entretenimento razoável. Dream Party cumpre seu propósito.,2025-05-16 17:23:08.278638
15,71,3,3,,2024-11-19 17:23:08.278638
16,143,3,4,,2024-11-11 17:23:08.278638
17,89,3,3,Entretenimento razoável. The Midnight Connection cumpre seu propósito.,2025-07-31 17:23:08.278638
18,141,3,3,,2024-12-08 17:23:08.278638
19,200,4,3,,2025-08-11 17:23:08.278638
20,84,4,3,,2025-02-06 17:23:08.278638
21,59,4,3,,2024-10-08 17:23:08.278638
22,74,4,3,,2025-06-16 17:23:08.278638
23,13,4,3,,2025-06-01 17:23:08.278638
24,161,4,3,,2025-08-19 17:23:08.278638
25,21,5,2,Evitem Avatar. Péssimo roteiro e atuações.,2025-01-04 17:23:08.278638
26,69,5,2,Midnight Party foi uma decepção. Não recomendo.,2025-08-27 17:23:08.278638
27,158,5,2,,2024-11-02 17:23:08.278638
28,180,5,3,,2025-05-30 17:23:08.278638
29,50,5,3,"Bom filme, mas esperava mais de Silent Party.",2025-01-03 17:23:08.278638
30,112,5,2,,2025-02-21 17:23:08.278638
31,1,6,2,,2024-10-12 17:23:08.278638
32,150,6,3,"The Sun Adventure tem momentos bons, mas poderia ser melhor.",2025-03-11 17:23:08.278638
33,16,6,3,,2025-06-14 17:23:08.278638
34,73,6,2,,2025-04-19 17:23:08.278638
35,73,6,2,,2025-02-18 17:23:08.278638
36,77,6,3,,2024-12-03 17:23:08.278638
37,26,7,3,,2025-03-18 17:23:08.278638
38,3,7,3,,2025-09-05 17:23:08.278638
39,49,7,3,"Bom filme, mas esperava mais de The Lost Curse.",2025-08-04 17:23:08.278638
40,170,7,3,"Sun Run tem momentos bons, mas poderia ser melhor.",2025-01-10 17:23:08.279638
41,86,7,3,"Echo Rising tem momentos bons, mas poderia ser melhor.",2025-09-03 17:23:08.279638
42,33,7,3,,2025-07-31 17:23:08.279638
43,90,8,3,,2025-06-10 17:23:08.279638
44,4,8,3,,2025-01-31 17:23:08.279638
45,122,8,3,,2025-06-21 17:23:08.279638
46,165,8,3,,2025-03-27 17:23:08.279638
47,200,8,3,,2025-04-30 17:23:08.279638
48,121,8,4,,2025-05-23 17:23:08.279638
49,156,9,3,,2025-02-21 17:23:08.279638
50,16,9,2,,2024-11-11 17:23:08.279638
51,9,9,0,,2024-11-12 17:23:08.279638
52,88,9,2,,2024-11-14 17:23:08.279638
53,177,9,2,,2025-09-13 17:23:08.279638
54,148,9,3,,2024-11-29 17:23:08.279638
55,120,10,3,"Bom filme, mas esperava mais de The Last Shadow.",2025-07-09 17:23:08.279638
56,171,10,3,"Shadows of Dream tem momentos bons, mas poderia ser melhor.",2025-07-18 17:23:08.279638
57,11,10,4,,2025-08-10 17:23:08.279638
58,6,10,3,"Entretenimento razoável. O Que É Isso, Companheiro? cumpre seu propósito.",2025-04-27 17:23:08.279638
59,83,10,3,,2024-10-27 17:23:08.279638
60,69,10,3,Midnight Party é um filme decente. Vale a pena assistir.,2025-04-10 17:23:08.279638
61,37,11,3,"Bom filme, mas esperava mais de The Lost House.",2025-07-21 17:23:08.279638
62,76,11,4,Que filme incrível! Echoes of Lost merece todos os prêmios.,2025-01-17 17:23:08.279638
63,64,11,3,,2024-11-07 17:23:08.279638
64,137,11,3,,2025-04-03 17:23:08.279638
65,93,11,3,,2025-01-04 17:23:08.279638
66,120,11,3,,2024-10-19 17:23:08.279638
67,43,12,3,,2024-12-05 17:23:08.279638
68,79,12,3,,2025-01-29 17:23:08.279638
69,160,12,3,,2025-06-29 17:23:08.279638
70,88,12,2,Que desperdício de tempo! The Lost Curse é muito fraco.,2025-06-24 17:23:08.279638
71,25,12,3,,2024-10-02 17:23:08.279638
72,71,12,3,,2024-11-17 17:23:08.279638
73,166,13,4,,2024-12-16 17:23:08.279638
74,113,13,4,Que filme incrível! The Sun Syndicate merece todos os prêmios.,2025-03-10 17:23:08.279638
75,174,13,4,,2025-02-25 17:23:08.279638
76,43,13,4,Excelente filme! The Echo House superou minhas expectativas.,2024-12-15 17:23:08.279638
77,143,13,4,,2025-08-11 17:23:08.279638
78,27,13,3,"Black Panther tem momentos bons, mas poderia ser melhor.",2025-08-10 17:23:08.279638
79,134,14,3,"Bom filme, mas esperava mais de Dark Dream.",2024-10-01 17:23:08.279638
80,49,14,3,,2024-11-15 17:23:08.279638
81,85,14,3,,2024-12-21 17:23:08.279638
82,136,14,3,,2025-08-28 17:23:08.279638
83,38,14,4,,2025-09-28 17:23:08.279638
84,124,14,4,,2024-12-05 17:23:08.279638
85,77,15,3,,2025-01-31 17:23:08.279638
86,129,15,3,,2025-07-28 17:23:08.279638
87,117,15,2,The Dream Curse foi uma decepção. Não recomendo.,2025-03-13 17:23:08.279638
88,171,15,3,"Shadows of Dream tem momentos bons, mas poderia ser melhor.",2025-01-22 17:23:08.279638
89,164,15,2,,2025-09-18 17:23:08.279638
90,92,15,4,,2025-04-09 17:23:08.279638
91,32,16,4,,2025-07-08 17:23:08.279638
92,149,16,4,,2025-03-08 17:23:08.279638
93,137,16,4,The Sun Protocol é uma obra-prima. Recomendo muito!,2025-01-14 17:23:08.279638
94,34,16,4,,2025-08-17 17:23:08.279638
95,80,16,3,,2025-05-26 17:23:08.279638
96,110,16,4,,2025-01-21 17:23:08.279638
97,31,17,3,"The Midnight Paradox tem momentos bons, mas poderia ser melhor.",2025-08-11 17:23:08.279638
98,98,17,3,,2024-12-22 17:23:08.279638
99,66,17,3,"Echo City tem momentos bons, mas poderia ser melhor.",2024-11-08 17:23:08.279638
100,53,17,3,,2025-01-31 17:23:08.279638
101,11,17,3,,2025-03-04 17:23:08.279638
102,65,17,3,,2025-07-23 17:23:08.279638
103,124,18,4,The Echo Connection é uma obra-prima. Recomendo muito!,2025-01-25 17:23:08.279638
104,110,18,3,,2024-10-25 17:23:08.279638
105,153,18,3,,2025-08-26 17:23:08.279638
106,107,18,3,,2025-07-09 17:23:08.279638
107,88,18,3,,2025-05-14 17:23:08.279638
108,17,18,2,Evitem The Dark Knight. Péssimo roteiro e atuações.,2025-09-10 17:23:08.279638
109,43,19,3,The Echo House é um filme decente. Vale a pena assistir.,2025-03-18 17:23:08.279638
110,90,19,3,,2025-09-19 17:23:08.279638
111,21,19,3,"Bom filme, mas esperava mais de Avatar.",2025-06-02 17:23:08.279638
112,181,19,3,,2025-07-05 17:23:08.279638
113,90,19,3,,2025-06-22 17:23:08.279638
114,56,19,3,Entretenimento razoável. Shadows of Silent cumpre seu propósito.,2025-01-20 17:23:08.279638
115,76,20,3,Echoes of Lost é um filme decente. Vale a pena assistir.,2025-03-31 17:23:08.279638
116,182,20,4,Adorei Shadows of Shadow. Atuações incríveis e roteiro envolvente.,2025-04-17 17:23:08.279638
117,118,20,4,Shadows of Shadow é uma obra-prima. Recomendo muito!,2024-12-15 17:23:08.279638
118,14,20,3,,2025-03-20 17:23:08.279638
119,170,20,3,,2025-08-10 17:23:08.279638
120,101,20,3,,2025-07-26 17:23:08.279638
121,93,21,3,,2025-04-02 17:23:08.279638
122,93,21,3,,2024-12-21 17:23:08.279638
123,135,21,3,"The Final Paradox tem momentos bons, mas poderia ser melhor.",2025-05-09 17:23:08.279638
124,34,21,4,,2025-02-03 17:23:08.279638
125,95,21,3,,2025-06-08 17:23:08.279638
126,199,21,4,,2025-02-14 17:23:08.279638
127,188,22,2,,2025-07-10 17:23:08.279638
128,168,22,3,Final Run é um filme decente. Vale a pena assistir.,2025-03-10 17:23:08.279638
129,78,22,3,,2025-03-07 17:23:08.279638
130,74,22,3,,2025-08-30 17:23:08.279638
131,68,22,3,Entretenimento razoável. Shadows of Final cumpre seu propósito.,2025-01-05 17:23:08.279638
132,35,22,2,,2025-05-20 17:23:08.279638
133,58,23,3,,2025-04-25 17:23:08.279638
134,20,23,3,The Silence of the Lambs é um filme decente. Vale a pena assistir.,2025-07-13 17:23:08.279638
135,35,23,3,Shadow Run é um filme decente. Vale a pena assistir.,2025-06-02 17:23:08.279638
136,157,23,4,Adorei Silent Run. Atuações incríveis e roteiro envolvente.,2025-08-05 17:23:08.279638
137,10,23,3,,2025-01-30 17:23:08.279638
138,100,23,4,,2024-11-20 17:23:08.279638
139,98,24,3,"Bom filme, mas esperava mais de The Shadow Promise.",2025-08-31 17:23:08.279638
140,190,24,3,,2024-10-05 17:23:08.279638
141,170,24,3,,2025-05-14 17:23:08.279638
142,22,24,3,Titanic é um filme decente. Vale a pena assistir.,2025-07-27 17:23:08.279638
143,117,24,2,,2025-07-12 17:23:08.279638
144,85,24,4,,2025-09-27 17:23:08.279638
145,167,25,3,,2025-07-21 17:23:08.279638
146,163,25,2,,2025-03-18 17:23:08.279638
147,147,25,3,The Lost Syndicate é um filme decente. Vale a pena assistir.,2025-02-26 17:23:08.279638
148,68,25,3,,2025-03-21 17:23:08.279638
149,114,25,4,,2025-03-30 17:23:08.279638
150,111,25,3,"Bom filme, mas esperava mais de The Last Shadow.",2024-11-21 17:23:08.279638
151,79,26,6,,2025-03-31 17:23:08.279638
152,55,26,3,Entretenimento razoável. The Dream Protocol cumpre seu propósito.,2024-12-22 17:23:08.279638
153,137,26,3,,2025-08-23 17:23:08.279638
154,126,26,3,"The Final Directive tem momentos bons, mas poderia ser melhor.",2025-06-18 17:23:08.279638
155,165,26,3,"Bom filme, mas esperava mais de Shadow Nights.",2024-10-07 17:23:08.279638
156,3,26,3,Central do Brasil é um filme decente. Vale a pena assistir.,2025-07-25 17:23:08.279638
